DotNotation,StandardDescription
CCSS.Math.Content.HSF-BF.A.1,Write a function that describes a relationship between two quantities &lt;sup&gt;???&lt;/sup&gt;
CCSS.Math.Content.HSF-BF.A.1a,"Determine an explicit expression, a recursive process, or steps for calculation from a context."
CCSS.Math.Content.HSF-BF.A.1b,Combine standard function types using arithmetic operations.
CCSS.Math.Content.HSF-BF.A.1c,(+) Compose functions.
CCSS.Math.Content.HSF-BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-BF.B,Build new functions from existing functions
CCSS.Math.Content.HSF-BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on "
CCSS.Math.Content.HSF-BF.B.4,Find inverse functions.
CCSS.Math.Content.HSF-BF.B.4a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.
CCSS.Math.Content.HSF-BF.B.4b,(+) Verify by composition that one function is the inverse of another.
CCSS.Math.Content.HSF-BF.B.4c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse."
CCSS.Math.Content.HSF-BF.B.4d,(+) Produce an invertible function from a non-invertible function by restricting the domain.
CCSS.Math.Content.HSF-BF.B.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.
CCSS.Math.Content.HSF-IF.A,Understand the concept of a function and use function notation
CCSS.Math.Content.HSF-IF.A.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f c"
CCSS.Math.Content.HSF-IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context."
CCSS.Math.Content.HSF-IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers."
CCSS.Math.Content.HSF-IF.B,Interpret functions that arise in applications in terms of the context
CCSS.Math.Content.HSF-IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.&lt;sup&gt;???&lt;/sup&gt;
CCSS.Math.Content.HSF-IF.C,Analyze functions using different representations
CCSS.Math.Content.HSF-IF.C.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-IF.C.7a,"Graph linear and quadratic functions and show intercepts, maxima, and minima."
CCSS.Math.Content.HSF-IF.C.7b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions."
CCSS.Math.Content.HSF-IF.C.7c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior."
CCSS.Math.Content.HSF-IF.C.7d,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior."
CCSS.Math.Content.HSF-IF.C.7e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude."
CCSS.Math.Content.HSF-IF.C.8,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.
CCSS.Math.Content.HSF-IF.C.8a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context."
CCSS.Math.Content.HSF-IF.C.8b,Use the properties of exponents to interpret expressions for exponential functions.
CCSS.Math.Content.HSF-IF.C.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions)."
CCSS.Math.Content.HSF-LE.A,"Construct and compare linear, quadratic, and exponential models and solve problems"
CCSS.Math.Content.HSF-LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.
CCSS.Math.Content.HSF-LE.A.1a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals."
CCSS.Math.Content.HSF-LE.A.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.
CCSS.Math.Content.HSF-LE.A.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.
CCSS.Math.Content.HSF-LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table)."
CCSS.Math.Content.HSF-LE.A.3,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function."
CCSS.Math.Content.HSF-LE.A.4,"For exponential models, express as a logarithm the solution to ab&lt;sup&gt;ct&lt;/sup&gt; = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology."
CCSS.Math.Content.HSF-LE.B,Interpret expressions for functions in terms of the situation they model
CCSS.Math.Content.HSF-LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.
CCSS.Math.Content.HSF-TF.A,Extend the domain of trigonometric functions using the unit circle
CCSS.Math.Content.HSF-TF.A.1,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.
CCSS.Math.Content.HSF-TF.A.2,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle."
CCSS.Math.Content.HSF-TF.A.3,"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for ??/3, ??/4 and ??/6, and use the unit circle to express the values of sine, cosine, and tangent for ??-x, ??+x, and 2??-x in terms of their values for x, where x "
CCSS.Math.Content.HSF-TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.
CCSS.Math.Content.HSF-TF.B,Model periodic phenomena with trigonometric functions
CCSS.Math.Content.HSF-TF.B.5,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-TF.B.6,(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.
CCSS.Math.Content.HSF-TF.B.7,"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSF-TF.C,Prove and apply trigonometric identities
CCSS.Math.Content.HSF-TF.C.8,"Prove the Pythagorean identity sin?_(??) + cos?_(??) = 1 and use it to find sin(??), cos(??), or tan(??) given sin(??), cos(??), or tan(??) and the quadrant of the angle."
CCSS.Math.Content.HSF-TF.C.9,"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems."
CCSS.Math.Content.HSG-C.A,Understand and apply theorems about circles
CCSS.Math.Content.HSG-C.A.1,Prove that all circles are similar.
CCSS.Math.Content.HSG-C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords."
CCSS.Math.Content.HSG-C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle."
CCSS.Math.Content.HSG-C.A.4,(+) Construct a tangent line from a point outside a given circle to the circle.
CCSS.Math.Content.HSG-C.B,Find arc lengths and areas of sectors of circles
CCSS.Math.Content.HSG-C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector."
CCSS.Math.Content.HSG-CO.A,Experiment with transformations in the plane
CCSS.Math.Content.HSG-CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc."
CCSS.Math.Content.HSG-CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and an"
CCSS.Math.Content.HSG-CO.A.3,"Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself."
CCSS.Math.Content.HSG-CO.A.4,"Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments."
CCSS.Math.Content.HSG-CO.A.5,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."
CCSS.Math.Content.HSG-CO.B,Understand congruence in terms of rigid motions
CCSS.Math.Content.HSG-CO.B.6,"Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."
CCSS.Math.Content.HSG-CO.B.7,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
CCSS.Math.Content.HSG-CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions."
CCSS.Math.Content.HSG-CO.C,Prove geometric theorems
CCSS.Math.Content.HSG-CO.C.10,Prove theorems about triangles.
CCSS.Math.Content.HSG-CO.C.11,Prove theorems about parallelograms.
CCSS.Math.Content.HSG-CO.C.9,Prove theorems about lines and angles.
CCSS.Math.Content.HSG-CO.D,Make geometric constructions
CCSS.Math.Content.HSG-CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; "
CCSS.Math.Content.HSG-CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle."
CCSS.Math.Content.HSG-GMD.A,Explain volume formulas and use them to solve problems
CCSS.Math.Content.HSG-GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone."
CCSS.Math.Content.HSG-GMD.A.2,(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.
CCSS.Math.Content.HSG-GMD.A.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSG-GMD.B,Visualize relationships between two-dimensional and three-dimensional objects
CCSS.Math.Content.HSG-GMD.B.4,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects."
CCSS.Math.Content.HSG-GPE.A,Translate between the geometric description and the equation for a conic section
CCSS.Math.Content.HSG-GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.
CCSS.Math.Content.HSG-GPE.A.2,Derive the equation of a parabola given a focus and directrix.
CCSS.Math.Content.HSG-GPE.A.3,"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant."
CCSS.Math.Content.HSG-GPE.B,Use coordinates to prove simple geometric theorems algebraically
CCSS.Math.Content.HSG-GPE.B.4,Use coordinates to prove simple geometric theorems algebraically.
CCSS.Math.Content.HSG-GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point)."
CCSS.Math.Content.HSG-GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.
CCSS.Math.Content.HSG-GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSG-MG.A,Apply geometric concepts in modeling situations
CCSS.Math.Content.HSG-MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSG-MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSG-MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).&lt;sup&gt;???&lt;/sup&gt;"
CCSS.Math.Content.HSG-SRT.A,Understand similarity in terms of similarity transformations
CCSS.Math.Content.HSG-SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:
CCSS.Math.Content.HSG-SRT.A.1a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged."
CCSS.Math.Content.HSG-SRT.A.1b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.
CCSS.Math.Content.HSG-SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles"
CCSS.Math.Content.HSG-SRT.A.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.
CCSS.Math.Content.HSG-SRT.B,Prove theorems involving similarity
CCSS.Math.Content.HSG-SRT.B.4,Prove theorems about triangles.
CCSS.Math.Content.HSG-SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.
CCSS.Math.Content.HSG-SRT.C,Define trigonometric ratios and solve problems involving right triangles
CCSS.Math.Content.HSG-SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles."
CCSS.Math.Content.HSG-SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.
CCSS.Math.Content.HSG-SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.&lt;sup&gt;???&lt;/sup&gt;
CCSS.Math.Content.HSG-SRT.D,Apply trigonometry to general triangles
CCSS.Math.Content.HSG-SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems.
CCSS.Math.Content.HSG-SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces)."
CCSS.Math.Content.HSG-SRT.D.9,(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.
CCSS.Math.Content.HSN-CN.A,Perform arithmetic operations with complex numbers.
CCSS.Math.Content.HSN-CN.A.1,"Know there is a complex number i such that i?_ = -1, and every complex number has the form a + bi with a and b real."
CCSS.Math.Content.HSN-CN.A.2,"Use the relation i?_ = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers."
CCSS.Math.Content.HSN-CN.A.3,(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.
CCSS.Math.Content.HSN-CN.B,Represent complex numbers and their operations on the complex plane.
CCSS.Math.Content.HSN-CN.B.4,"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number."
CCSS.Math.Content.HSN-CN.B.5,"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation."
CCSS.Math.Content.HSN-CN.B.6,"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints."
CCSS.Math.Content.HSN-CN.C,Use complex numbers in polynomial identities and equations.
CCSS.Math.Content.HSN-CN.C.7,Solve quadratic equations with real coefficients that have complex solutions.
CCSS.Math.Content.HSN-CN.C.8,(+) Extend polynomial identities to the complex numbers.
CCSS.Math.Content.HSN-CN.C.9,(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.
CCSS.Math.Content.HSN-Q.A,Reason quantitatively and use units to solve problems.
CCSS.Math.Content.HSN-Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.
CCSS.Math.Content.HSN-Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.
CCSS.Math.Content.HSN-Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
CCSS.Math.Content.HSN-RN.A,Extend the properties of exponents to rational exponents.
CCSS.Math.Content.HSN-RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents."
CCSS.Math.Content.HSN-RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
CCSS.Math.Content.HSN-RN.B,Use properties of rational and irrational numbers.
CCSS.Math.Content.HSN-RN.B.3,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.
CCSS.Math.Content.HSN-VM.A,Represent and model with vector quantities.
CCSS.Math.Content.HSN-VM.A.1,"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use vappropriate symbols for vectors and their magnitudes (e.g., v, , "
CCSS.Math.Content.HSN-VM.A.2,(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.
CCSS.Math.Content.HSN-VM.A.3,(+) Solve problems involving velocity and other quantities that can be represented by vectors.
CCSS.Math.Content.HSN-VM.B,Perform operations on vectors.
CCSS.Math.Content.HSN-VM.B.4,(+) Add and subtract vectors.
CCSS.Math.Content.HSN-VM.B.4a,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes."
CCSS.Math.Content.HSN-VM.B.4b,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum."
CCSS.Math.Content.HSN-VM.B.4c,"Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perf"
CCSS.Math.Content.HSN-VM.B.5,(+) Multiply a vector by a scalar.
CCSS.Math.Content.HSN-VM.B.5a,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v&lt;sub&gt;x&lt;/sub&gt;, v&lt;sub&gt;y&lt;/sub&gt;) = (cv&lt;sub&gt;x&lt;/sub&gt;, cv&lt;sub&"
CCSS.Math.Content.HSN-VM.B.5b,Compute the magnitude of a scalar multiple cv using
CCSS.Math.Content.HSN-VM.C,Perform operations on matrices and use matrices in applications.
CCSS.Math.Content.HSN-VM.C.10,(+) Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
CCSS.Math.Content.HSN-VM.C.11,(+) Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
CCSS.Math.Content.HSN-VM.C.12,"(+) Work with 2 ?? 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area."
CCSS.Math.Content.HSN-VM.C.6,"(+) Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network."
CCSS.Math.Content.HSN-VM.C.7,"(+) Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled."
CCSS.Math.Content.HSN-VM.C.8,"(+) Add, subtract, and multiply matrices of appropriate dimensions."
CCSS.Math.Content.HSN-VM.C.9,"(+) Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties."
CCSS.Math.Content.HSS-CP.A,Understand independence and conditional probability and use them to interpret data
CCSS.Math.Content.HSS-CP.A.1,"Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events (""or,"" ""and,"" ""not"")."
CCSS.Math.Content.HSS-CP.A.2,"Understand that two events A and B are independent if the probability of A and B occurring together is the product of their probabilities, and use this characterization to determine if they are independent."
CCSS.Math.Content.HSS-CP.A.3,"Understand the conditional probability of A given B as P(A and B)/P(B), and interpret independence of A and B as saying that the conditional probability of A given B is the same as the probability of A, and the conditional probability of B given A is the "
CCSS.Math.Content.HSS-CP.A.4,Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities.
CCSS.Math.Content.HSS-CP.A.5,Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.
CCSS.Math.Content.HSS-CP.B,Use the rules of probability to compute probabilities of compound events in a uniform probability model
CCSS.Math.Content.HSS-CP.B.6,"Find the conditional probability of A given B as the fraction of B's outcomes that also belong to A, and interpret the answer in terms of the model."
CCSS.Math.Content.HSS-CP.B.7,"Apply the Addition Rule, P(A or B) = P(A) + P(B) - P(A and B), and interpret the answer in terms of the model."
CCSS.Math.Content.HSS-CP.B.8,"(+) Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(BA) = P(B)P(AB), and interpret the answer in terms of the model."
CCSS.Math.Content.HSS-CP.B.9,(+) Use permutations and combinations to compute probabilities of compound events and solve problems.
CCSS.Math.Content.HSS-IC.A,Understand and evaluate random processes underlying statistical experiments
CCSS.Math.Content.HSS-IC.A.1,Understand statistics as a process for making inferences about population parameters based on a random sample from that population.
CCSS.Math.Content.HSS-IC.A.2,"Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation."
CCSS.Math.Content.HSS-IC.B,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies"
CCSS.Math.Content.HSS-IC.B.3,"Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each."
CCSS.Math.Content.HSS-IC.B.4,Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.
CCSS.Math.Content.HSS-IC.B.5,Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.
CCSS.Math.Content.HSS-IC.B.6,Evaluate reports based on data.
CCSS.Math.Content.HSS-ID.A,"Summarize, represent, and interpret data on a single count or measurement variable"
CCSS.Math.Content.HSS-ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots)."
CCSS.Math.Content.HSS-ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets."
CCSS.Math.Content.HSS-ID.A.3,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers)."
CCSS.Math.Content.HSS-ID.A.4,"Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets, and tables to est"
CCSS.Math.Content.HSS-ID.B,"Summarize, represent, and interpret data on two categorical and quantitative variables"
CCSS.Math.Content.HSS-ID.B.5,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data."
CCSS.Math.Content.HSS-ID.B.6,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related."
CCSS.Math.Content.HSS-ID.B.6a,Fit a function to the data; use functions fitted to data to solve problems in the context of the data.
CCSS.Math.Content.HSS-ID.B.6b,Informally assess the fit of a function by plotting and analyzing residuals.
CCSS.Math.Content.HSS-ID.B.6c,Fit a linear function for a scatter plot that suggests a linear association.
CCSS.Math.Content.HSS-ID.C,Interpret linear models
CCSS.Math.Content.HSS-ID.C.7,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.
CCSS.Math.Content.HSS-ID.C.8,Compute (using technology) and interpret the correlation coefficient of a linear fit.
CCSS.Math.Content.HSS-ID.C.9,Distinguish between correlation and causation.
CCSS.Math.Content.HSS-MD.A,Calculate expected values and use them to solve problems
CCSS.Math.Content.HSS-MD.A.1,(+) Define a random variable for a quantity of interest by assigning a numerical value to each event in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.
CCSS.Math.Content.HSS-MD.A.2,(+) Calculate the expected value of a random variable; interpret it as the mean of the probability distribution.
CCSS.Math.Content.HSS-MD.A.3,(+) Develop a probability distribution for a random variable defined for a sample space in which theoretical probabilities can be calculated; find the expected value.
CCSS.Math.Content.HSS-MD.A.4,(+) Develop a probability distribution for a random variable defined for a sample space in which probabilities are assigned empirically; find the expected value.
CCSS.Math.Content.HSS-MD.B,Use probability to evaluate outcomes of decisions
CCSS.Math.Content.HSS-MD.B.5,(+) Weigh the possible outcomes of a decision by assigning probabilities to payoff values and finding expected values.
CCSS.Math.Content.HSS-MD.B.5a,Find the expected payoff for a game of chance.
CCSS.Math.Content.HSS-MD.B.5b,Evaluate and compare strategies on the basis of expected values.
CCSS.Math.Content.HSS-MD.B.6,"(+) Use probabilities to make fair decisions (e.g., drawing by lots, using a random number generator)."
CCSS.Math.Content.HSS-MD.B.7,"(+) Analyze decisions and strategies using probability concepts (e.g., product testing, medical testing, pulling a hockey goalie at the end of a game)."
CCSS.Math.Content.K.CC.A,Know number names and the count sequence.
CCSS.Math.Content.K.CC.A.1,Count to 100 by ones and by tens.
CCSS.Math.Content.K.CC.A.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).
CCSS.Math.Content.K.CC.A.3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).
CCSS.Math.Content.K.CC.B,Count to tell the number of objects.
CCSS.Math.Content.K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.
CCSS.Math.Content.K.CC.B.4a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
CCSS.Math.Content.K.CC.B.4b,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.
CCSS.Math.Content.K.CC.B.4c,Understand that each successive number name refers to a quantity that is one larger.
CCSS.Math.Content.K.CC.B.5,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1???20, count out that many objects."
CCSS.Math.Content.K.CC.C,Compare numbers.
CCSS.Math.Content.K.CC.C.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies."
CCSS.Math.Content.K.CC.C.7,Compare two numbers between 1 and 10 presented as written numerals.
CCSS.Math.Content.K.G.A,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres)."
CCSS.Math.Content.K.G.A.1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."
CCSS.Math.Content.K.G.A.2,Correctly name shapes regardless of their orientations or overall size.
CCSS.Math.Content.K.G.A.3,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"")."
CCSS.Math.Content.K.G.B,"Analyze, compare, create, and compose shapes."
CCSS.Math.Content.K.G.B.4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides "
CCSS.Math.Content.K.G.B.5,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."
CCSS.Math.Content.K.G.B.6,Compose simple shapes to form larger shapes.
CCSS.Math.Content.K.MD.A,Describe and compare measurable attributes.
CCSS.Math.Content.K.MD.A.1,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
CCSS.Math.Content.K.MD.A.2,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference."
CCSS.Math.Content.K.MD.B,Classify objects and count the number of objects in each category.
CCSS.Math.Content.K.MD.B.3,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.
CCSS.Math.Content.K.NBT.A,Work with numbers 11???19 to gain foundations for place value.
CCSS.Math.Content.K.NBT.A.1,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of t"
